ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,DISTANCE
12889,10721,2381
12892,10721,2611
13204,10721,1121
13303,10721,1258
13930,10721,867
14107,10721,2300
14747,10721,2496
14771,10721,2704
11298,10728,270
10397,10731,238
11618,10732,1585
12478,10732,1576
13204,10732,1129
11298,10747,482
12266,10747,308
10397,10781,448
11298,10781,383
12266,10781,253
10397,10785,961
11618,10785,266
12478,10785,266
13930,10785,763
10397,10792,712
11057,10792,546
11618,10792,282
12478,10792,301
12889,10792,1986
12892,10792,2217
13204,10792,1011
13930,10792,474
14107,10792,1912
11292,10800,850
12478,10800,2465
12889,10800,223
14107,10800,369
14747,10800,937
14771,10800,326
10397,10821,577
11057,10821,361
11292,10821,1491
11298,10821,1217
11618,10821,169
12266,10821,1235
12889,10821,2106
12892,10821,2329
13204,10821,787
13303,10821,946
13930,10821,622
14107,10821,1999
14747,10821,2335
14771,10821,2457
10397,10849,1640
11292,10849,524
11618,10849,1882
12892,10849,902
13930,10849,1186
14747,10849,543
14771,10849,807
10397,10868,192
12266,10868,878
13930,10868,666
10397,10874,528
11618,10874,382
13204,10874,861
13930,10874,343
10397,10980,106
11618,10980,718
13930,10980,501
10397,10990,457
13930,10990,566
10397,10994,259
11057,10994,168
11618,10994,628
12266,10994,925
12478,10994,636
13930,10994,760
14747,10994,2415
10397,11003,694
11292,11003,692
13930,11003,196
10397,11042,554
11057,11042,430
11292,11042,1201
11298,11042,1021
11618,11042,404
12266,11042,1091
12889,11042,1824
12892,11042,2052
13204,11042,895
13930,11042,316
14107,11042,1737
14771,11042,2161
11298,11049,164
12266,11049,74
10397,11057,226
11292,11057,1337
11298,11057,936
11618,11057,529
12266,11057,912
12478,11057,541
12889,11057,1916
12892,11057,2125
13204,11057,468
13303,11057,650
13930,11057,599
14107,11057,1773
14747,11057,2279
14771,11057,2296
10397,11066,447
11292,11066,1154
11298,11066,926
11618,11066,463
12266,11066,986
12889,11066,1771
12892,11066,1995
13204,11066,802
13930,11066,296
14107,11066,1670
13930,11076,360
10397,11109,1184
11292,11109,73
11298,11109,592
12266,11109,809
12889,11109,604
12892,11109,833
13204,11109,1520
13930,11109,911
14107,11109,551
14747,11109,1068
11292,11122,230
11298,11140,354
12266,11140,201
10397,11146,363
12266,11146,975
13930,11146,416
10397,11150,83
10397,11193,373
11057,11193,335
11292,11193,1069
11618,11193,569
12266,11193,871
12889,11193,1678
12892,11193,1900
13204,11193,757
13930,11193,264
14107,11193,1569
14771,11193,2036
13930,11203,213
10397,11252,366
12478,11252,891
10397,11259,721
11057,11259,926
11292,11259,651
12889,11259,1067
12892,11259,1246
13204,11259,973
14107,11259,879
14747,11259,1670
14771,11259,1476
10397,11267,432
11298,11267,861
11618,11267,533
13930,11267,240
10397,11278,547
11057,11278,331
11292,11278,1476
11298,11278,1192
11618,11278,199
12266,11278,1208
12478,11278,213
12889,11278,2089
12892,11278,2311
13204,11278,759
13303,11278,919
13930,11278,612
14107,11278,1979
14747,11278,2329
14771,11278,2442
10397,11292,1199
11057,11292,1337
11298,11292,641
11618,11292,1605
12266,11292,862
12478,11292,1626
12889,11292,628
12892,11292,862
13204,11292,1546
13303,11292,1709
13930,11292,888
14107,11292,602
14747,11292,1024
14771,11292,967
10397,11298,731
11057,11298,936
11292,11298,641
11618,11298,1372
12266,11298,224
12478,11298,1391
12889,11298,1055
12892,11298,1235
13204,11298,985
13303,11298,1121
13930,11298,802
14107,11298,868
14747,11298,1660
14771,11298,1464
10397,11308,170
13930,11337,397
11292,11413,250
11298,11413,674
14107,11413,353
10397,11423,743
11292,11423,589
11298,11423,624
11618,11423,1017
12266,11423,802
12889,11423,1216
13204,11423,1141
13930,11423,299
14107,11423,1150
10397,11433,594
11057,11433,500
11292,11433,1123
11298,11433,986
11618,11433,488
12266,11433,1075
12478,11433,509
12889,11433,1749
12892,11433,1979
13204,11433,957
13303,11433,1145
13930,11433,235
14107,11433,1671
14747,11433,1927
14771,11433,2079
13930,11471,269
10397,11481,240
12266,11481,572
10397,11503,1312
11292,11503,120
11298,11503,721
11618,11503,1725
12266,11503,934
12478,11503,1746
12892,11503,748
13303,11503,1810
13930,11503,1007
14107,11503,513
10397,11540,1282
11292,11540,563
11298,11540,551
12266,11540,667
12889,11540,583
12892,11540,714
14107,11540,347
13930,11577,398
11292,11603,996
12892,11603,748
14771,11603,451
10397,11612,350
13930,11612,272
10397,11617,433
10397,11618,746
11057,11618,529
11292,11618,1605
11298,11618,1372
12266,11618,1400
12889,11618,2227
12892,11618,2454
13204,11618,937
13303,11618,1085
13930,11618,719
14107,11618,2133
14747,11618,2402
14771,11618,2565
10397,11624,646
14747,11630,1533
10397,11637,1123
11292,11637,627
13930,11637,557
11292,11638,844
11298,11638,1313
12892,11638,209
14107,11638,493
14747,11638,748
14771,11638,158
10397,11641,331
11292,11648,752
12892,11648,1014
13930,11648,1352
14771,11648,844
14107,11695,119
10397,11697,581
11057,11697,632
11292,11697,1703
11298,11697,1119
11618,11697,1065
12266,11697,966
12478,11697,1069
12889,11697,2173
